               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10736,            0.032806,                   0,           0.0033333,            0.090909,           0.0021567,          0.00021567,             0.12485,            0.026396,                   0,              0.0919,              0.0009,              0.0009
                   1,            0.097795,            0.032411,                   0,           0.0033333,             0.18182,            0.010775,            0.002955,             0.11418,            0.023296,                   0,            0.082881,           0.0018812,           0.0018812
                   2,            0.080306,            0.029677,                   0,           0.0033333,             0.18182,           0.0081729,           0.0021549,             0.10378,            0.021122,                   0,            0.073843,           0.0028426,           0.0028426
                   3,            0.077667,            0.029645,                   0,            0.076313,            0.090909,            0.054585,            0.023091,             0.09588,             0.01852,                   0,            0.064784,           0.0037842,           0.0037842
                   4,            0.071199,             0.03013,                   0,             0.45755,             0.18182,             0.17078,             0.06045,            0.081098,            0.016317,                   0,            0.055706,            0.004706,            0.004706
                   5,            0.058842,            0.026365,                   0,                   1,             0.26424,             0.31152,             0.14198,            0.071597,            0.015042,                   0,            0.046608,           0.0056079,           0.0056079
                   6,             0.06311,            0.026979,                   0,             0.81099,             0.27273,             0.32511,            0.096185,            0.061368,            0.014317,                   0,             0.03749,           0.0064901,           0.0064901
                   7,            0.055837,            0.026075,                   0,             0.36326,             0.36364,             0.27098,            0.073109,            0.055486,            0.013478,                   0,            0.028353,           0.0073525,           0.0073525
                   8,            0.060289,            0.022969,                   0,              0.4115,             0.44569,             0.24169,            0.056888,            0.055074,            0.013013,                   0,            0.019195,           0.0081951,           0.0081951
                   9,            0.049403,            0.021822,                   0,             0.37101,             0.36364,             0.30805,            0.094683,             0.04984,            0.011948,                   0,            0.010018,           0.0090179,           0.0090179
                  10,            0.064517,            0.023748,                   0,             0.35604,             0.18182,             0.15807,            0.043804,             0.05547,            0.010749,                   0,             0.00901,             0.00901,             0.00901
                  11,             0.07169,             0.02222,                   0,             0.73523,             0.25661,             0.31607,            0.086652,            0.055523,            0.010244,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.067204,            0.024634,                   0,             0.31032,             0.36364,             0.27481,             0.13772,            0.049203,            0.010631,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.058401,            0.023147,                   0,             0.80772,            0.090909,             0.14135,            0.063116,            0.058346,           0.0094049,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.063928,            0.019759,                   0,             0.76383,            0.090909,             0.16621,            0.097054,            0.052577,           0.0096375,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.056502,            0.020661,                   0,             0.17523,             0.36364,             0.20404,             0.11534,            0.048778,           0.0098447,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.055219,            0.023594,                   0,             0.22675,             0.45455,             0.29099,             0.14384,            0.044873,            0.010017,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.056284,            0.023262,                   0,             0.48351,             0.54545,             0.36584,             0.12429,            0.044302,            0.010279,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.054518,            0.025507,                   0,             0.61196,             0.45455,             0.44975,             0.18384,            0.045879,             0.01039,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.054902,            0.023842,                   0,             0.56149,             0.45455,             0.44208,             0.18687,            0.049117,            0.010334,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.053907,            0.021038,                   0,             0.54284,             0.45455,                0.45,             0.19715,            0.048652,            0.010219,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.046074,            0.020706,                   0,             0.41635,             0.45401,             0.29441,             0.10132,            0.047908,           0.0097129,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.06213,            0.021009,                   0,             0.39067,             0.52567,             0.36932,             0.11593,            0.051697,           0.0096905,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.050064,            0.023871,                   0,             0.36802,             0.54545,             0.38175,              0.1528,             0.05089,            0.010006,                   0,            0.007822,            0.007822,            0.007822
